"country","year","npl","nim","loans","credit_growth","vc_ai","log_vc_ai","lag_vc_ai","lag_log_vc_ai","gdp_growth","inflation","unemployment","covid","lag_npl","lag_nim","lag_credit","lag_gdp_growth","lag_inflation","lag_unemployment"
"Greece",2021,15.7148,2.2775,62218.3333333333,-8.63893277077502,15.980292,2.83205337743734,4.663602,1.7340600855609,10.7918263090677,0.6,14.7,1,30.38375,2.5475,-3.76578842625631,-9.32252460914881,-1.3,17.6
"Greece",2022,6.940175,1.95,60579.4166666667,-2.63413784790122,NA,NA,NA,NA,12.7953890489914,9.3,12.5,0,15.7148,2.2775,-8.63893277077502,10.7918263090677,0.6,14.7
"Greece",2023,5.82105,3.1375,63019.0833333333,4.02722046679773,9.674176,2.36782736643986,15.980292,2.83205337743734,8.84006131834441,4.2,11.1,0,6.940175,1.95,-2.63413784790122,12.7953890489914,9.3,12.5
"Ireland",2015,20.679175,1.97,64004.1666666667,NA,145.914186,4.98984864761196,NA,NA,NA,0,9.9,0,NA,NA,NA,NA,NA,NA
"Ireland",2016,16.908025,2.07,54839.5,-14.3188594492546,52.509292,3.97985532106394,145.914186,4.98984864761196,0.137978613314926,-0.2,8.4,0,20.679175,1.97,NA,NA,0,9.9
"Ireland",2017,13.620925,2.0625,53018.4166666667,-3.32075116172346,80.941226,4.40600223417423,52.509292,3.97985532106394,10.1619014812263,0.3,6.7,0,16.908025,2.07,-14.3188594492546,0.137978613314926,-0.2,8.4
"Ireland",2018,9.170225,2.0125,53275.25,0.484422865639456,245.7028565,5.50818460230897,80.941226,4.40600223417423,7.14509068167606,0.7,5.8,0,13.620925,2.0625,-3.32075116172346,10.1619014812263,0.3,6.7
"Ireland",2019,5.45645,1.6825,61579.5,15.5874444512227,178.116151,5.18803448367195,245.7028565,5.50818460230897,6.85831022909675,0.9,5,0,9.170225,2.0125,0.484422865639456,7.14509068167606,0.7,5.8
"Ireland",2020,4.900475,1.4125,61286.3333333333,-0.476078348584619,138.805846,4.94025464580667,178.116151,5.18803448367195,3.53680185716236,-0.5,5.9,1,5.45645,1.6825,15.5874444512227,6.85831022909675,0.9,5
"Ireland",2021,3.949125,1.1375,52443.5,-14.4287198342208,348.3999475,5.85621724744236,138.805846,4.94025464580667,16.1566868900026,2.4,6.2,1,4.900475,1.4125,-0.476078348584619,3.53680185716236,-0.5,5.9
"Ireland",2022,2.68635,1.0975,59697.6666666667,13.8323465570884,354.9425775,5.87476941868462,348.3999475,5.85621724744236,13.7050073804928,8.1,4.5,0,3.949125,1.1375,-14.4287198342208,16.1566868900026,2.4,6.2
"Ireland",2023,2.248625,1.9275,59589,-0.18202833164892,227.117079,5.42985900154215,354.9425775,5.87476941868462,-1.05851807469542,5.2,4.3,0,2.68635,1.0975,13.8323465570884,13.7050073804928,8.1,4.5
"Italy",2015,17.047425,1.59,811582.166666667,NA,19.7738335,3.03369418994728,NA,NA,NA,0.1,12,0,NA,NA,NA,NA,NA,NA
"Italy",2016,16.3826,1.5025,795272.75,-2.00958292783252,22.136283,3.14140207792091,19.7738335,3.03369418994728,2.67921795800146,-0.1,11.7,0,17.047425,1.59,NA,NA,0.1,12
"Italy",2017,12.80685,1.395,764174.583333333,-3.91037749836979,44.816834,3.82465157817365,22.136283,3.14140207792091,2.50352609308886,1.3,11.3,0,16.3826,1.5025,-2.00958292783252,2.67921795800146,-0.1,11.7
"Italy",2018,9.875075,1.485,724013.083333333,-5.25553988262936,87.7247085,4.48553841309465,44.816834,3.82465157817365,2.13278293773649,1.2,10.6,0,12.80685,1.395,-3.91037749836979,2.50352609308886,1.3,11.3
"Italy",2019,7.748725,1.4225,668432.25,-7.67677195520293,23.575325,3.20174289076776,87.7247085,4.48553841309465,1.71775008420343,0.6,9.9,0,9.875075,1.485,-5.25553988262936,2.13278293773649,1.2,10.6
"Italy",2020,5.721775,1.255,673472.25,0.754003116995028,158.2156305,5.07025945012346,23.575325,3.20174289076776,-6.95364238410596,-0.1,9.3,1,7.748725,1.4225,-7.67677195520293,1.71775008420343,0.6,9.9
